England and Wales, Total Population, Death rates (period 1x1), 	Last modified: 02 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1842          38             0.012921        0.012367        0.012648
  1842          39             0.013055        0.012682        0.012871
  1842          40             0.012774        0.012635        0.012706
  1842          41             0.012096        0.012230        0.012162
  1842          42             0.011785        0.012142        0.011960
  1842          43             0.011897        0.012435        0.012161
  1842          44             0.012124        0.012855        0.012483
  1842          45             0.012806        0.013781        0.013285
  1842          46             0.014142        0.015447        0.014782
  1842          47             0.015289        0.016910        0.016084
  1842          48             0.015796        0.017621        0.016691
  1842          49             0.016143        0.018130        0.017117
  1842          50             0.016024        0.018175        0.017076
  1842          51             0.015406        0.017724        0.016532
  1842          52             0.015275        0.017706        0.016451
  1842          53             0.015841        0.018322        0.017040
  1842          54             0.016657        0.019181        0.017876
  1842          55             0.018659        0.021327        0.019947
  1842          56             0.022853        0.025885        0.024317
  1842          57             0.026756        0.030086        0.028363
  1842          58             0.028627        0.031958        0.030233
  1842          59             0.030401        0.033693        0.031986
  1842          60             0.030271        0.033463        0.031802
  1842          61             0.028149        0.031162        0.029586
  1842          62             0.028077        0.030994        0.029463
  1842          63             0.030183        0.033109        0.031570
  1842          64             0.032690        0.035659        0.034095
  1842          65             0.037423        0.040723        0.038979
  1842          66             0.046365        0.050687        0.048390
  1842          67             0.054580        0.060028        0.057115
  1842          68             0.058874        0.064821        0.061632
  1842          69             0.063163        0.069724        0.066193
  1842          70             0.065687        0.072203        0.068697
  1842          71             0.065787        0.071417        0.068401
  1842          72             0.067912        0.073581        0.070544
  1842          73             0.072769        0.079502        0.075879
  1842          74             0.077971        0.086027        0.081670
  1842          75             0.087044        0.096147        0.091221
  1842          76             0.103859        0.113061        0.108113
  1842          77             0.119120        0.129111        0.123747
  1842          78             0.128146        0.140685        0.133906
  1842          79             0.138476        0.154186        0.145627
  1842          80             0.120815        0.140730        0.129639
  1842          81             0.131145        0.154466        0.141387
  1842          82             0.142925        0.169936        0.154683
  1842          83             0.156507        0.187015        0.169686
  1842          84             0.169478        0.205025        0.184629
  1842          85             0.180414        0.205264        0.190855
  1842          86             0.194978        0.219974        0.205430
  1842          87             0.210594        0.235190        0.220799
  1842          88             0.227254        0.250889        0.236857
  1842          89             0.245018        0.266959        0.253733
  1842          90             0.263947        0.283391        0.271535
  1842          91             0.284074        0.300092        0.290205
  1842          92             0.305495        0.316985        0.309801
  1842          93             0.328187        0.334059        0.330337
  1842          94             0.352075        0.351075        0.351718
  1842          95             0.377398        0.368133        0.374181
  1842          96             0.404121        0.385307        0.397782
  1842          97             0.432131        0.402336        0.422414
  1842          98             0.461650        0.419428        0.448358
  1842          99             0.493453        0.438463        0.476819
  1842         100             0.527615        0.457483        0.507261
  1842         101             0.566071        0.478862        0.541867
  1842         102             0.609062        0.514905        0.584548
  1842         103             0.651460        0.574333        0.633310
  1842         104             0.714510        0.662732        0.703632
  1842         105             0.827586        1.174935        0.875269
  1842         106             0.962669              .        0.962669
  1842         107             1.431953              .        1.431953
  1842         108             4.176471              .        4.176471
  1842         109                   .              .              .
  1842         110+                  .              .              .
